Rank,Player,Team,Position,Points,Games,Avg
1,Josh Allen,BUF,QB,417.7,17,24.6
2,Justin Herbert,LAC,QB,395.6,17,23.3
3,Tom Brady,TB,QB,386.7,17,22.8
4,Patrick Mahomes II,KC,QB,374.2,17,22
5,Matthew Stafford,LAR,QB,346.8,17,20.4
6,Aaron Rodgers,GB,QB,336.3,16,21
7,Jonathan Taylor,IND,RB,333.1,17,19.6
8,Dak Prescott,DAL,QB,330.4,16,20.7
9,Joe Burrow,CIN,QB,328.1,16,20.5
10,Jalen Hurts,PHI,QB,321.2,15,21.4
11,Kyler Murray,ARI,QB,310.5,14,22.2
12,Kirk Cousins,MIN,QB,307.3,16,19.2
13,Cooper Kupp,LAR,WR,294.5,17,17.3
14,Ryan Tannehill,TEN,QB,282.3,17,16.6
15,Austin Ekeler,LAC,RB,273.8,16,17.1
16,Derek Carr,LV,QB,270.6,17,15.9
17,Carson Wentz,IND,QB,264.9,17,15.6
18,Deebo Samuel,SF,WR,262,16,16.4
19,Lamar Jackson,BAL,QB,253,12,21.1
20,Russell Wilson,SEA,QB,248.7,14,17.8
21,Joe Mixon,CIN,RB,245.9,16,15.4
22,Jimmy Garoppolo,SF,QB,239.5,15,16
23,Mac Jones,NE,QB,238,17,14
24,Taylor Heinicke,WAS,QB,236.7,16,14.8
25,Matt Ryan,ATL,QB,234.8,17,13.8
26,Ben Roethlisberger,PIT,QB,228,16,14.3
27,Najee Harris,PIT,RB,226.7,17,13.3
28,Ja'Marr Chase,CIN,WR,223.6,17,13.2
29,Justin Jefferson,MIN,WR,222.4,17,13.1
30,Davante Adams,GB,WR,221.3,16,13.8
31,James Conner,ARI,RB,220.7,15,14.7
32,Trevor Lawrence,JAC,QB,216,17,12.7
33,Teddy Bridgewater,DEN,QB,209.8,14,15
34,Ezekiel Elliott,DAL,RB,205.1,17,12.1
35,Jared Goff,DET,QB,202.4,14,14.5
36,Nick Chubb,CLE,RB,195.3,14,14
37,Mark Andrews,BAL,TE,194.1,17,11.4
38,Baker Mayfield,CLE,QB,193.8,14,13.8
39,Damien Harris,NE,RB,192.1,15,12.8
40,Tua Tagovailoa,MIA,QB,190.9,13,14.7
41,Mike Evans,TB,WR,188.5,16,11.8
42,Alvin Kamara,NO,RB,187.7,13,14.4
